BATTERS - BOS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Duran, JaCF",4,0,2,0,0,1,0,.344,.951
Devers3B,4,0,1,0,0,2,2,.325,.967
MartinezDH,4,0,0,0,0,2,2,.307,.864
BogaertsSS,3,0,0,0,1,0,1,.321,.854
VerdugoLF,4,0,1,0,0,0,2,.265,.701
Story2B,3,0,0,0,0,2,1,.222,.709
Cordero1B,2,0,0,0,1,0,1,.255,.744
PlaweckiC,3,0,0,0,0,0,1,.151,.478
Bradley Jr.RF,3,1,1,0,0,1,0,.211,.569
,30,1,5,0,2,8,10,,
