PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
Skubal,6.0,3,2,0,3,2,0,3.67
"Jiménez, J",0.2,2,1,0,0,3,0,3.08
Chafin,1.1,0,0,0,1,2,0,2.53
"Fulmer(W, 3-4)",1.0,0,0,0,0,0,0,2.84
,9.0,5,3,0,4,7,0,
