BATTERS - DET,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Greene, RCF",4,0,0,0,0,3,1,.245,.663
"Báez, JSS",4,1,1,0,0,2,0,.218,.631
"Castro, H1B",3,1,1,0,1,1,1,.286,.736
"Cabrera, MDH",3,0,1,0,1,1,1,.287,.690
Candelario3B,4,0,3,2,0,0,0,.215,.655
1-BaddooPR,0,1,0,0,0,0,0,.133,.385
HaaseC,4,0,0,0,0,1,5,.241,.737
GrossmanLF,4,0,0,0,0,3,3,.202,.582
Schoop2B,4,1,2,0,0,1,0,.211,.552
"Reyes, VRF",4,0,1,2,0,1,1,.276,.663
,34,4,9,4,2,13,12,,
