PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
"Valdez, F(W, 3-0)",6.0,2,1,1,2,9,1,1.44
"Neris(H, 3)",1.0,0,0,0,0,2,0,1.50
"Abreu, B(H, 5)",1.0,0,0,0,0,1,0,0.00
"Pressly(S, 6)",1.0,1,0,0,0,0,0,0.00
,9.0,3,1,1,2,12,1,
