BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberLF,3,1,1,1,1,2,0,.218,.937
Hoskins1B,4,0,0,0,0,1,1,.159,.640
RealmutoC,3,0,1,0,0,1,0,.215,.661
HarperDH,4,0,0,0,0,2,2,.349,1.160
"Castellanos, NRF",4,0,0,0,0,2,1,.185,.478
Bohm3B,3,0,1,0,0,1,0,.224,.654
Segura2B,3,0,0,0,0,2,1,.214,.500
VierlingCF,1,0,0,0,1,0,0,.154,.445
a-StottPH-SS,1,0,0,0,0,0,0,.136,.482
"Sosa, ESS",2,0,0,0,0,1,2,.250,.675
b-MarshPH-CF,1,0,0,0,0,0,0,.179,.683
,29,1,3,1,2,12,7,,
