,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,547,456,51,100,14,53,0,.219,.344,.344,.688
6 Seasons,2070,1768,265,478,80,243,3,.270,.374,.463,.837
