Season,Team,Pos,PA,Depth (ft.),Angle
2017,CIN,9,895,288,27
2017,CIN,7,81,280,-25
2018,CIN,7,1081,296,-26
2018,CIN,9,1465,291,27
2019,CIN,7,1960,290,-26
2019,CIN,9,419,290,28
2019,CIN,8,557,313,1
2020,CIN,7,367,298,-27
2020,CIN,9,26,295,27
2021,CIN,7,3603,294,-26
2021,CIN,9,76,292,29
2021,CIN,8,24,323,1
2022,SEA,7,3997,296,-26
