Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Indianapolis Indians,Triple-A,No Outs,,,,1,,,2.0,7,1,,,0,0,4,0.50
Indianapolis Indians,Triple-A,One Out,,,,1,,,1.2,8,1,,,1,2,1,1.80
Indianapolis Indians,Triple-A,Two Outs,,,,1,,,1.2,6,0,,,0,1,2,0.60
