Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Indianapolis Indians,Triple-A,Away Games,0,0,1.69,1,1,0,5.1,21,2,1,1,1,3,7,0.94
Indianapolis Indians,Triple-A,Day Games,0,0,1.69,1,1,0,5.1,21,2,1,1,1,3,7,0.94
Indianapolis Indians,Triple-A,Leading Off,,,,1,,,1.2,6,1,,,0,0,4,0.60
