PITCHERS - WSH,IP,H,R,ER,BB,SO,HR,ERA
"Abbott(L, 0-3)",4.0,6,4,4,2,0,1,4.85
"Machado, A",2.0,1,0,0,0,1,0,3.83
Cishek,1.0,1,1,1,1,0,1,4.62
"Thompson, M",1.0,2,0,0,0,2,0,2.60
,8.0,10,5,5,3,3,2,
