BATTERS - WSH,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Thomas, LRF",3,0,1,0,1,0,0,.253,.732
CallLF,4,0,1,1,0,1,1,.222,.728
"García, L2B",4,0,0,0,0,2,2,.281,.713
Meneses1B,4,0,4,0,0,0,0,.325,.904
VoitDH,4,0,0,0,0,4,4,.238,.750
"Vargas, I3B",4,1,2,0,0,1,2,.278,.754
AbramsSS,4,1,1,0,0,1,3,.232,.583
AdamsC,4,0,0,0,0,2,4,.190,.588
RoblesCF,3,0,0,1,0,1,0,.226,.594
,34,2,9,2,1,12,16,,
