PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
"Rodriguez, Ed",6.2,1,1,1,3,8,1,4.50
"Fulmer(L, 1-1)(BS, 1)",1.0,3,2,2,3,0,0,1.59
Lange,0.1,0,0,0,0,1,0,1.86
,8.0,4,3,3,6,9,1,
