BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Altuve2B,4,2,2,1,0,1,0,.255,.832
BrantleyDH,4,1,1,1,0,0,0,.278,.722
Bregman3B,4,0,0,0,0,0,1,.232,.757
"Alvarez, YLF",2,0,0,0,2,2,0,.263,.967
Gurriel1B,3,0,0,0,1,0,1,.196,.552
TuckerRF,1,0,0,1,3,1,1,.247,.745
PeñaSS,4,0,1,0,0,2,4,.234,.787
McCormickCF,3,0,0,0,0,1,2,.253,.720
MaldonadoC,2,0,0,0,0,2,0,.085,.406
a-DíazPH,1,0,0,0,0,0,0,.186,.516
CastroC,0,0,0,0,0,0,0,.077,.303
,28,3,4,3,6,9,9,,
