PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
"McClanahan(L, 12-6)",4.0,5,5,5,4,3,1,2.36
Armstrong,2.0,1,0,0,1,0,0,4.40
Chargois,1.0,0,0,0,0,1,0,2.76
Guerra,1.0,1,0,0,0,1,0,7.11
Poche,1.0,1,0,0,0,1,0,3.13
,9.0,8,5,5,5,6,1,
