PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
Leiter Jr.,4.0,3,2,2,2,3,1,11.05
"Roberts(L, 0-1)",0.2,2,2,2,2,2,0,5.40
Effross,0.1,0,0,0,0,0,0,4.50
Martin,1.0,1,0,0,0,3,0,5.79
Wick,1.0,1,0,0,1,1,0,1.93
Givens,1.0,2,0,0,0,1,0,1.69
Robertson,1.0,0,0,0,1,2,0,0.00
,9.0,9,4,4,6,12,1,
