PITCHERS - PIT,IP,H,R,ER,BB,SO,HR,ERA
"Wilson, B",3.0,3,3,3,4,2,0,6.35
"Crowe(W, 1-0)",2.1,1,0,0,0,5,0,0.00
"Peters(H, 1)",0.2,0,0,0,0,1,0,0.00
"Hembree(H, 1)",0.2,0,0,0,1,1,0,1.69
"Bednar(H, 2)",1.1,0,0,0,0,2,0,0.00
"Stratton(S, 1)",1.0,0,0,0,0,1,0,4.15
,9.0,4,3,3,5,12,0,
