BATTERS - MIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MirandaDH,5,1,3,0,0,0,0,.267,.754
CorreaSS,5,0,1,1,0,1,3,.287,.828
Arraez1B,4,2,2,0,0,0,2,.313,.789
Urshela3B,4,2,3,1,0,0,0,.274,.747
SanchezC,3,1,1,4,0,0,1,.209,.659
CelestinoCF,4,0,0,1,0,0,2,.240,.611
CaveLF,4,1,1,0,0,0,1,.208,.646
Palacios2B,2,1,0,1,1,0,1,.093,.229
WallnerRF,4,0,0,0,0,3,2,.250,.720
,35,8,11,8,1,4,12,,
