PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
"White, M",3.2,5,3,3,3,1,0,5.21
"Richards, T",2.1,0,0,0,0,4,0,5.43
"Mayza(L, 8-1)",0.1,2,2,2,0,0,1,3.28
"Garcia, Y",0.2,2,1,1,0,1,0,3.20
Cimber,1.1,2,2,0,0,1,0,2.90
Kikuchi,0.2,0,0,0,0,1,0,5.44
,9.0,11,8,6,3,8,1,
