Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,L,480,319,66.5,.381,.384
2016,R,188,44,23.4,.344,.307
2017,L,409,312,76.3,.383,.351
2017,R,249,64,25.7,.301,.432
2018,L,496,424,85.5,.326,.327
2018,R,171,20,11.7,.375,.185
2019,L,455,375,82.4,.330,.374
2019,R,219,31,14.2,.404,.427
2020,L,187,180,96.3,.200,.319
2020,R,66,25,37.9,.420,.169
2021,L,467,456,97.6,.534,.280
2021,R,189,45,23.8,.323,.287
2022,L,362,356,98.3,.295,.290
2022,R,142,39,27.5,.352,.357
