Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2016,0,,0,0,0,0,0,0,0,0,99,100,1
2017,0,,-1,0,0,-1,0,1,0,1,80,82,2
