 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,301,85.6,82.6,301,82.6,--,--,--,--,--,--,--,--,--,--,--,--
2021,668,87.5,78.8,668,78.8,--,--,--,--,--,--,--,--,--,--,--,--
2022,390,81.1,80.4,390,80.4,--,--,--,--,--,--,--,--,--,--,--,--
