Name,Year,0ft,5ft,10ft,15ft,20ft,25ft,30ft,35ft,40ft,45ft,50ft,55ft,60ft,65ft,70ft,75ft,80ft,85ft,90ft
"Santana, Carlos - LHB",2015,0.00,0.53,0.82,1.08,1.33,1.57,1.80,2.02,2.22,2.42,2.62,2.81,3.01,3.20,3.39,3.58,3.77,3.97,4.13
"Santana, Carlos - RHB",2015,0.00,0.57,0.88,1.15,1.40,1.64,1.86,2.08,2.28,2.48,2.68,2.87,3.06,3.25,3.43,3.62,3.80,3.99,4.19
"Santana, Carlos - LHB",2016,0.00,0.53,0.82,1.08,1.33,1.56,1.78,1.99,2.19,2.38,2.58,2.76,2.95,3.14,3.32,3.51,3.69,3.88,4.08
"Santana, Carlos - RHB",2016,0.00,0.55,0.86,1.13,1.38,1.62,1.84,2.05,2.25,2.45,2.64,2.83,3.02,3.21,3.39,3.57,3.76,3.95,4.14
"Santana, Carlos - LHB",2017,0.00,0.53,0.81,1.08,1.32,1.55,1.77,1.97,2.17,2.37,2.56,2.75,2.93,3.12,3.30,3.48,3.67,3.86,4.05
"Santana, Carlos - RHB",2017,0.00,0.54,0.84,1.11,1.36,1.59,1.81,2.02,2.22,2.42,2.61,2.80,2.99,3.18,3.36,3.54,3.73,3.91,4.10
"Santana, Carlos - LHB",2018,0.00,0.53,0.83,1.10,1.35,1.58,1.80,2.01,2.21,2.41,2.60,2.79,2.98,3.16,3.35,3.54,3.72,3.92,4.12
"Santana, Carlos - RHB",2018,0.00,0.55,0.86,1.14,1.39,1.62,1.84,2.05,2.26,2.46,2.65,2.84,3.03,3.21,3.39,3.58,3.76,3.95,4.14
"Santana, Carlos - LHB",2019,0.00,0.53,0.83,1.10,1.35,1.58,1.80,2.01,2.21,2.41,2.60,2.79,2.98,3.17,3.35,3.53,3.72,3.92,4.12
"Santana, Carlos - RHB",2019,0.00,0.55,0.86,1.13,1.39,1.62,1.84,2.05,2.26,2.45,2.65,2.83,3.02,3.21,3.39,3.58,3.76,3.95,4.14
"Santana, Carlos - LHB",2021,0.00,0.55,0.86,1.13,1.37,1.60,1.81,2.02,2.22,2.42,2.62,2.81,3.01,3.20,3.38,3.58,3.77,3.97,4.18
"Santana, Carlos - RHB",2021,0.00,0.58,0.92,1.20,1.45,1.68,1.90,2.11,2.32,2.52,2.72,2.91,3.10,3.29,3.48,3.66,3.85,4.04,4.24
"Santana, Carlos - LHB",2022,0.00,0.55,0.87,1.14,1.38,1.61,1.83,2.04,2.24,2.44,2.63,2.82,3.01,3.19,3.38,3.57,3.76,3.96,4.19
"Santana, Carlos - RHB",2022,0.00,0.58,0.92,1.20,1.45,1.68,1.90,2.12,2.32,2.52,2.72,2.91,3.10,3.29,3.48,3.67,3.85,4.05,4.25

