 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2010,,283,16.0,37.5%,1.4%,127,23.0,0.0%,15.0%
2011,,885,15.2,47.0%,3.6%,545,21.4,4.2%,14.7%
2012,,775,16.1,38.7%,3.7%,548,22.2,2.7%,13.7%
2013,,818,16.5,36.8%,4.9%,596,22.9,1.8%,15.4%
2014,,849,17.0,33.6%,3.4%,624,23.6,1.0%,16.8%
2015,,804,17.4,32.0%,4.4%,739,24.4,6.5%,24.4%
2016,,969,17.4,28.0%,4.4%,524,24.7,3.6%,24.2%
2017,,821,17.7,22.0%,4.5%,562,23.9,0.9%,19.2%
2018,,865,16.8,31.0%,3.2%,544,22.9,0.9%,12.5%
2019,,882,17.8,23.2%,4.2%,564,24.6,0.7%,18.1%
2020,,352,18.4,20.5%,4.5%,256,25.5,2.0%,23.4%
2021,,795,18.5,20.6%,3.9%,526,25.7,0.0%,27.0%
2022,,594,18.0,18.2%,5.7%,452,23.3,0.2%,16.2%
