Year,xwOBA,xBA,xSLG,xISO,xOBP,Brl,Brl%,EV,Max EV,"Hard
Hit%",K%,BB%,Whiff%,"Chase
Rate",Speed,OAA,"Arm
Strength"
2015,79,27,55,63,94,76,67,59,85,71,54,98,62,99,23,,
2016,94,78,89,88,94,91,81,81,81,83,82,97,68,97,30,,
2017,80,65,67,65,89,79,61,64,88,66,84,89,73,93,32,94,
2018,75,38,51,54,90,70,48,50,92,58,87,98,77,87,31,89,
2019,85,65,70,68,94,85,67,91,87,83,82,97,76,97,25,67,
2020,84,52,63,61,94,55,41,36,83,38,79,98,77,96,21,81,43
2021,58,34,46,51,69,55,33,64,79,55,85,92,69,84,16,64,17
2022,88,59,74,75,93,63,60,81,75,76,74,97,71,87,16,83,21
