Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2010,CLE,AL,192,70,57,0,4,.277,19,3,25,803,4.182,.151,.031,1.276,.207,0,0
2011,CLE,AL,658,252,253,0,7,.263,64,15,96,2839,4.315,.202,.041,.729,.217,0,2
2012,CLE,AL,609,213,245,0,8,.278,47,21,89,2602,4.273,.166,.030,.901,.168,5,1
2013,CLE,AL,642,246,222,0,4,.301,60,7,87,2759,4.298,.171,.031,.845,.187,6,1
2014,CLE,AL,660,231,254,0,3,.249,52,13,86,2841,4.305,.188,.041,.911,.196,3,0
2015,CLE,AL,666,217,292,0,5,.261,50,20,99,2863,4.299,.183,.029,.885,.164,3,0
2016,CLE,AL,688,290,233,0,5,.258,68,18,81,2781,4.042,.144,.049,1.000,.239,4,1
2017,CLE,AL,667,260,251,0,2,.274,63,11,102,2648,3.970,.141,.034,.936,.196,4,0
2018,PHI,NL,679,232,235,0,8,.231,54,12,95,2801,4.125,.137,.035,1.183,.186,5,0
2019,CLE,AL,686,295,224,0,2,.293,65,13,82,2793,4.071,.157,.050,1.000,.234,4,2
2020,CLE,AL,255,72,106,0,1,.212,15,5,34,1123,4.404,.169,.031,1.093,.150,1,0
2021,KC,AL,659,193,251,0,5,.227,34,12,83,2706,4.106,.155,.029,.843,.127,4,1
2022,KC,AL,212,60,63,0,0,.236,14,1,24,867,4.090,.132,.019,1.286,.125,1,0
2022,SEA,AL,294,102,110,0,2,.187,23,8,47,1199,4.078,.204,.051,.583,.208,0,1
2022,2 Teams,,506,162,173,0,2,.209,37,9,71,2066,4.083,.174,.038,.807,.174,1,1
13 Seasons,4 Teams,,7567,2733,2796,0,56,.258,628,159,1030,31625,4.179,.165,.037,.921,.190,40,9
