Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2016,,22.6,37,39.6,-3,13,28,20,54.1
2017,,22.8,24,25.9,-2,10,18,12,50.0
2018,,22.9,24,21.8,2,10,14,12,50.0
2019,,22.7,34,35.2,-1,14,35,8,23.5
2020,,25.8,8,10.1,-2,4,3,8,100.0
2021,,23.2,19,24.0,-5,9,20,10,52.6
2022,,23.5,20,20.8,-1,6,17,7,35.0
Player,,23.0,166,177.5,-12,66,135,77,46.4
