,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2010,CLE,AL,46,192,150,23,39,13,0,6,22,37,29,3,0,1,.260,.401,.467,.868
,2011,CLE,AL,155,658,552,84,132,35,2,27,79,97,133,5,3,2,.239,.351,.457,.808
,2012,CLE,AL,143,609,507,72,128,27,2,18,76,91,101,3,5,3,.252,.365,.420,.785
,2013,CLE,AL,154,642,541,75,145,39,1,20,74,93,110,3,1,4,.268,.377,.455,.832
,2014,CLE,AL,152,660,541,68,125,25,0,27,85,113,124,5,2,3,.231,.365,.427,.792
,2015,CLE,AL,154,666,550,72,127,29,2,19,85,108,122,11,3,3,.231,.357,.395,.752
,2016,CLE,AL,158,688,582,89,151,31,3,34,87,99,99,5,2,2,.259,.366,.498,.864
,2017,CLE,AL,154,667,571,90,148,37,3,23,79,88,94,5,1,6,.259,.363,.455,.818
,2018,PHI,NL,161,679,560,82,128,28,2,24,86,110,93,2,1,1,.229,.352,.414,.766
*,2019,CLE,AL,158,686,573,110,161,30,1,34,93,108,108,4,0,3,.281,.397,.515,.912
,2020,CLE,AL,60,255,206,34,41,7,0,8,30,47,43,0,0,1,.199,.349,.350,.699
,2021,KC,AL,158,659,565,66,121,15,0,19,69,86,102,2,0,3,.214,.319,.342,.661
,2022,KC,AL,52,212,176,17,38,10,0,4,21,36,28,0,0,0,.216,.349,.341,.690
,2022,SEA,AL,79,294,255,35,49,8,0,15,39,35,60,0,0,2,.192,.293,.400,.693
,2022,2 Teams,,131,506,431,52,87,18,0,19,60,71,88,0,0,2,.202,.316,.376,.692
,13 Seasons,4 Teams,,1784,7567,6329,917,1533,334,16,278,925,1148,1246,48,18,34,.242,.359,.432,.791
