PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
"McClanahan(W, 9-3)",7.0,3,1,1,1,10,0,1.74
Guerra,1.0,2,1,1,2,0,0,10.80
Sanders,1.0,0,0,0,0,0,0,1.38
,9.0,5,2,2,3,10,0,
