BATTERS - TB,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Díaz, Y3B",4,0,2,1,1,0,0,.275,.748
FrancoSS,4,2,1,1,1,0,5,.260,.706
"Ramírez, HDH",5,1,2,0,0,1,0,.312,.779
ArozarenaLF,5,1,2,1,0,1,2,.255,.706
Paredes1B,5,1,1,1,0,2,5,.231,.870
KiermaierCF,5,0,1,0,0,2,1,.231,.654
"Pinto, RC",4,0,2,2,0,2,0,.200,.475
Walls2B,4,1,1,0,0,1,3,.166,.513
"Lowe, JRF",4,0,1,0,0,1,1,.179,.522
,40,6,13,6,2,10,17,,
