BATTERS - STL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
EdmanSS-2B,5,0,0,0,0,2,1,.266,.724
DonovanLF-RF,4,0,1,0,0,1,0,.295,.816
GoldschmidtDH,4,0,1,0,1,2,1,.340,1.042
Arenado3B,5,0,2,0,0,1,3,.292,.890
Gorman2B,2,1,1,0,1,0,2,.252,.783
a-PujolsPH-1B,2,0,0,0,0,0,3,.189,.602
Yepez1B-LF,4,1,2,1,0,0,2,.281,.843
CarlsonCF,4,0,1,0,0,1,4,.255,.736
CapelRF,2,1,1,2,0,0,2,.222,.756
"b-Sosa, EPH-SS",1,0,0,0,0,1,1,.198,.526
RomineC,3,0,0,0,1,0,2,.182,.432
,36,3,9,3,3,8,21,,
