PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
Wright,4.0,3,1,0,1,2,0,2.91
Chavez,2.0,4,2,2,0,1,2,3.15
"O'Day(W, 2-2)",1.0,0,0,0,0,2,0,4.34
"Lee, D(H, 4)",1.0,1,0,0,0,1,0,1.06
"Smith, W.M.(S, 5)",1.0,1,0,0,2,2,0,3.09
,9.0,9,3,2,3,8,2,
