PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Hudson, D(L, 6-5)",4.0,9,6,6,3,2,0,4.29
Oviedo,1.2,1,0,0,0,2,0,3.32
Naile,2.1,0,0,0,0,2,0,0.00
,8.0,10,6,6,3,6,0,
