BATTERS - CHC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Morel2B,4,1,1,1,1,1,3,.304,.972
OrtegaCF,4,1,2,1,1,1,5,.222,.638
"Suzuki, SRF",5,0,0,2,0,1,9,.239,.771
HappLF,5,0,0,0,0,3,3,.275,.806
SchwindelDH,5,3,3,3,0,0,0,.233,.670
Wisdom3B,5,2,2,0,0,2,0,.226,.786
Rivas1B,4,1,2,2,1,1,0,.235,.740
HigginsC,4,2,2,0,0,1,2,.429,1.270
SimmonsSS,5,1,3,2,0,0,2,.261,.553
,41,11,15,11,3,10,24,,
