BATTERS - WSH,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Thomas, LCF",4,0,0,0,0,1,3,.237,.684
"García, LSS",4,0,0,0,0,1,0,.290,.720
Voit1B,3,0,2,0,1,1,0,.235,.756
"Cruz, NDH",4,0,1,0,0,2,2,.232,.660
"Hernandez, YLF",3,1,1,0,1,1,2,.271,.725
"Ruiz, KC",3,0,0,0,1,2,3,.243,.641
PalaciosRF,4,0,0,0,0,0,3,.143,.286
Hernández2B,4,0,3,1,0,0,0,.241,.612
"Vargas, I3B",4,0,0,0,0,0,5,.250,.734
,33,1,7,1,3,8,18,,
