PITCHERS - WSH,IP,H,R,ER,BB,SO,HR,ERA
"Abbott(L, 0-1)",3.2,7,7,7,5,2,4,5.68
Ramirez,2.1,0,0,0,0,1,0,3.36
"Thompson, M",1.0,3,1,1,0,2,0,1.29
Arano,1.0,3,5,3,1,1,0,5.46
,8.0,13,13,11,6,6,4,
