BATTERS - TB,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ArozarenaLF,5,0,0,0,0,0,2,.251,.701
MargotRF,3,1,2,0,2,0,2,.322,.838
KiermaierCF,0,0,0,0,0,0,0,.226,.662
"Ramírez, H1B",5,1,2,0,0,2,2,.279,.690
"Díaz, Y3B",4,0,2,1,1,0,3,.266,.743
"Mejía, FDH",4,1,1,0,1,0,2,.247,.650
Paredes2B,2,0,0,1,2,0,1,.200,.685
ZuninoC,4,0,1,0,0,0,5,.151,.487
BrujánSS,3,0,1,1,1,0,4,.150,.409
"Phillips, BCF-RF",3,0,0,0,0,2,1,.188,.592
,33,3,9,3,7,4,22,,
