BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Hoskins1B,4,0,0,0,1,1,3,.222,.716
Bohm3B,5,1,2,0,0,2,1,.295,.744
HarperDH,5,1,4,0,0,0,1,.318,1.001
"Castellanos, NRF",4,0,0,1,1,1,3,.248,.713
Segura2B,5,1,2,1,0,1,3,.297,.794
SchwarberLF,4,0,0,0,0,2,2,.197,.743
RealmutoC,2,0,1,0,1,0,0,.238,.656
"Herrera, OCF",4,1,2,2,0,0,3,.257,.768
StottSS,4,0,0,0,0,2,3,.123,.312
,37,4,11,4,3,9,19,,
