PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
Kershaw,6.0,5,2,2,0,8,1,2.62
"Bruihl(BS, 1)",0.2,2,1,1,0,0,1,3.98
"Phillips, E(W, 6-3)",1.1,1,0,0,2,2,0,1.35
Vesia,1.0,0,0,0,1,2,0,2.36
,9.0,8,3,3,3,12,2,
