PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
Cobb,4.1,7,3,3,3,4,1,3.68
"Marte, Y",1.0,1,0,0,1,2,0,6.00
"Young, Al",0.2,0,0,0,0,1,0,2.40
"Littell(L, 2-3)",1.1,3,4,4,2,2,1,5.01
"Ortiz, L.F.",0.2,0,0,0,0,0,0,0.00
,8.0,11,7,7,6,9,2,
