PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
"Smyly(L, 1-3)",4.1,6,3,2,2,4,1,3.04
Gsellman,3.2,5,4,4,2,2,0,9.82
Newcomb,1.0,0,0,0,0,1,0,7.56
,9.0,11,7,6,4,7,1,
