BATTERS - LAD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BettsRF,4,1,1,0,1,0,1,.247,.756
"Freeman, F1B",4,2,3,0,0,1,1,.319,.927
Alberto2B,1,0,0,0,0,1,0,.273,.591
TurnerSS,3,1,2,1,1,1,1,.275,.712
Rios1B,1,0,0,0,0,0,0,.217,.598
"Turner, J3B",5,0,1,2,0,1,4,.184,.487
MuncyDH,3,0,0,0,1,0,3,.145,.619
"Taylor, ChLF",3,1,1,0,1,2,3,.293,.808
BellingerCF,4,1,1,0,0,0,1,.207,.711
"Barnes, AC",4,1,2,3,0,0,0,.261,.972
Lux2B-SS,4,0,0,0,0,1,1,.258,.693
,36,7,11,6,4,7,15,,
