BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Acuña Jr.RF,5,0,1,0,0,2,3,.200,.400
Olson1B,3,0,0,0,1,1,2,.315,.948
Riley3B,4,1,1,1,0,1,5,.274,.931
OzunaDH,4,1,2,0,0,0,0,.269,.788
Albies2B,4,0,0,0,0,1,2,.228,.806
d'ArnaudC,4,1,2,1,0,0,0,.321,.827
DuvallCF,4,1,1,2,0,1,2,.200,.550
DemeritteLF,4,0,2,0,0,1,0,.357,1.043
SwansonSS,3,1,2,1,1,1,1,.209,.636
,35,5,11,5,2,8,15,,
