PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
"Smyly(L, 1-2)",4.2,5,2,2,1,4,2,2.79
Effross,2.0,2,0,0,0,2,0,2.00
Martin,0.1,0,0,0,1,0,0,3.86
Roberts,1.0,4,3,3,0,2,1,7.71
,8.0,11,5,5,2,8,3,
