PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"Pepiot(W, 1-0)",5.0,4,1,1,1,6,0,2.76
"Bickford(H, 5)",1.2,2,1,1,0,1,1,4.73
"Phillips, E(H, 10)",1.1,1,0,0,0,3,0,1.65
"Graterol(S, 2)",1.0,1,0,0,0,2,0,3.55
,9.0,8,2,2,1,12,1,
