PITCHERS - MIA,IP,H,R,ER,BB,SO,HR,ERA
"Alcantara, S",7.0,6,0,0,1,4,0,1.73
Bass,1.0,1,0,0,0,0,0,1.47
"Bleier(W, 1-1)",1.0,0,0,0,0,0,0,4.84
"Scott, Tan(S, 12)",1.0,0,0,0,1,2,0,4.04
,10.0,7,0,0,2,6,0,
