PITCHERS - WSH,IP,H,R,ER,BB,SO,HR,ERA
"Gray, Js",6.0,2,1,1,2,2,1,5.02
"Harvey, H(H, 5)",1.0,1,0,0,0,2,0,2.80
"Edwards Jr.(BS, 3)",1.0,2,1,0,1,1,0,2.70
"Finnegan(W, 6-4)",2.0,1,0,0,0,1,0,3.62
,10.0,6,2,1,3,6,1,
