PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
Odorizzi,3.2,4,2,1,3,0,0,4.53
Chavez,1.1,0,0,0,0,0,0,3.36
"Lee, D",1.0,0,0,0,0,1,0,2.25
"Iglesias, R",1.0,0,0,0,0,0,0,2.64
Minter,1.0,0,0,0,0,1,0,2.01
Jansen,1.0,0,0,0,0,1,0,3.60
"Stephens(L, 3-3)",0.2,1,1,0,1,0,0,3.38
,9.2,5,3,1,4,3,0,
