BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
YelichLF,4,1,2,1,0,1,1,.262,.753
AdamesSS,3,1,1,3,1,1,1,.237,.776
Tellez1B,4,0,0,0,0,1,2,.224,.772
RenfroeRF,3,0,0,0,1,0,1,.252,.801
"Wong, Ko2B",3,0,0,0,0,1,0,.245,.737
McCutchenDH,4,0,0,0,0,2,2,.238,.699
Peterson3B,2,0,0,0,0,0,0,.251,.739
"a-Urías, LPH-3B",0,0,0,0,1,0,0,.229,.725
CaratiniC,2,1,0,0,1,1,1,.200,.658
MitchellCF,2,1,1,0,0,1,1,.200,.614
"b-Taylor, TPH-CF",1,0,0,0,0,0,1,.224,.715
,28,4,4,4,4,8,10,,
