PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
"Ohtani(L, 3-4)",3.0,8,4,4,1,2,3,3.99
Quijada,1.0,1,0,0,1,2,0,4.50
"Diaz, J",4.0,4,2,2,0,2,1,1.32
,8.0,13,6,6,2,6,4,
