BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Hoskins1B,4,0,2,0,0,0,2,.239,.773
Bohm3B,4,0,1,0,0,2,3,.300,.744
SchwarberLF,4,0,1,0,0,1,3,.189,.718
"Castellanos, NRF",4,0,0,0,0,1,5,.271,.778
RealmutoDH,4,0,0,0,0,2,0,.230,.617
"Herrera, OCF",4,0,1,0,0,0,0,.262,.773
Camargo2B,3,0,1,0,1,1,1,.253,.691
StubbsC,3,0,1,0,0,0,2,.348,.922
a-SeguraPH,1,0,0,0,0,1,1,.294,.820
StottSS,3,0,1,0,0,0,1,.140,.355
,34,0,8,0,1,8,18,,
