BATTERS - TB,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Díaz, YDH",4,0,2,1,1,0,0,.283,.768
FrancoSS,4,1,1,0,0,0,2,.259,.701
Bruján2B,1,0,1,0,0,0,0,.164,.470
"Ramírez, HRF",5,2,2,2,0,1,3,.323,.816
"Phillips, BRF",0,0,0,0,0,0,0,.151,.479
Choi1B,5,1,3,1,0,0,0,.290,.873
Paredes3B,5,1,2,0,0,1,2,.252,.910
ArozarenaLF,3,1,1,2,2,2,3,.259,.725
KiermaierCF,5,0,1,0,0,1,2,.230,.648
Walls2B-SS,3,1,1,0,1,1,2,.170,.524
"Pinto, RC",4,0,0,0,0,1,2,.182,.432
,39,7,14,6,4,7,16,,
