BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Acuña Jr.RF,3,0,1,0,1,1,2,.275,.802
SwansonSS,4,0,0,0,0,2,2,.294,.828
Olson1B,4,1,1,1,0,2,0,.251,.816
Riley3B,4,1,2,1,0,1,0,.284,.916
"Contreras, WmC",4,0,0,0,0,1,1,.265,.900
"Rosario, EDH",4,1,3,1,0,1,0,.149,.457
DuvallLF,4,0,0,0,0,2,3,.204,.652
"Canó, R2B",4,0,1,0,0,0,0,.173,.412
"Harris II, MCF",3,0,0,0,1,3,1,.283,.808
,34,3,8,3,2,13,9,,
