PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
"Ashby(L, 2-10)",4.2,3,4,4,5,5,1,4.32
Milner,1.1,1,1,1,0,0,1,2.98
McGee,1.0,3,1,1,0,1,1,7.00
Suter,2.0,1,1,1,2,2,1,4.22
,9.0,8,7,7,7,8,4,
