BATTERS - TEX,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Semien2B,4,1,1,0,0,1,1,.242,.715
SeagerSS,4,0,2,2,0,0,0,.249,.783
"Lowe, N1B",4,0,0,0,0,0,2,.303,.860
HeimC,4,0,0,0,0,0,1,.230,.710
CalhounDH,4,0,0,0,0,2,0,.204,.609
TaverasCF,3,0,1,0,0,0,0,.286,.725
Jung3B,4,1,2,1,0,1,1,.500,1.750
"Smith, JoshLF",3,0,0,0,0,2,2,.213,.586
"a-García, AdPH",1,0,0,0,0,0,1,.248,.733
"Thompson, BRF",3,1,1,0,0,1,0,.278,.663
,34,3,7,3,0,7,8,,
