PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
Stripling,6.0,3,2,2,0,4,1,3.03
"Cimber(H, 15)",0.2,1,0,0,0,0,0,3.20
"Garcia, Y(H, 20)",0.2,1,1,1,0,1,0,2.45
"Mayza(W, 6-0)(BS, 4)",0.2,1,0,0,0,0,0,2.97
"Romano(S, 32)",1.0,1,0,0,0,2,0,1.99
,9.0,7,3,3,0,7,1,
