PITCHERS - TEX,IP,H,R,ER,BB,SO,HR,ERA
Dunning,5.2,7,3,3,2,5,1,4.39
"Santana, D",0.1,0,0,0,0,0,0,5.21
Burke,2.0,2,0,0,0,3,0,1.51
"Leclerc(L, 0-2)",1.0,1,1,1,1,0,0,3.18
,9.0,10,4,4,3,8,1,
