PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
DeSclafani,3.0,6,5,5,1,3,2,7.71
Littell,1.0,1,2,2,0,0,1,5.19
"Rogers, Ty(W, 1-3)",2.0,0,0,0,0,1,0,5.01
"Brebbia(H, 6)",0.2,1,1,0,1,0,0,2.83
"McGee(H, 4)",0.1,0,0,0,0,0,0,5.50
"Leone(H, 9)",1.0,2,0,0,0,1,0,2.36
Doval,1.0,2,2,2,0,1,1,3.19
,9.0,12,10,9,2,6,4,
