Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2021,,24.8,4,4.7,-1,2,4,2,50.0
2022,,25.3,13,15.6,-3,8,14,6,46.2
Player,,25.2,17,20.3,-3,10,18,8,47.1
