Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2020,0,,0,0,0,0,0,0,0,0,81,80,-1
2021,1,,0,1,0,1,-1,0,0,0,86,88,2
