 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2020,,31,16.5,29.0%,3.2%,18,20.7,0.0%,5.6%
2021,,219,16.7,32.4%,1.8%,144,22.0,1.4%,13.2%
2022,,504,17.5,25.8%,2.2%,292,22.0,1.0%,9.9%
