,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2020,SD,NL,22,28,26,4,4,3,0,0,2,1,11,1,0,0,.154,.185,.269,.454
,2021,SD,NL,57,93,87,10,18,4,0,2,6,2,27,5,0,3,.207,.250,.322,.572
,2021,BAL,AL,32,116,107,9,30,7,1,2,8,7,28,5,3,1,.280,.328,.421,.749
,2021,2 Teams,,89,209,194,19,48,11,1,4,14,9,55,10,3,4,.247,.293,.376,.669
,2022,BAL,AL,150,533,494,63,109,25,7,13,50,27,147,35,9,5,.221,.267,.379,.646
,3 Seasons,2 Teams,,261,770,714,86,161,39,8,17,66,37,213,46,12,9,.225,.271,.374,.645
