 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2020,,28,113,-1,-1,0,0,-1
2021,,209,822,-9,-5,1,4,-8
2022,,533,"1,982",0,-22,-3,8,-16
