BATTERS - MIA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Chisholm Jr.2B,4,2,2,0,0,1,0,.255,.838
CooperDH,3,1,2,1,0,0,1,.319,.864
Aguilar1B,4,0,1,1,0,0,3,.247,.693
"García, AvRF",2,2,1,0,2,1,1,.228,.566
"Sánchez, JCF",4,2,2,3,0,1,3,.235,.737
Berti3B,4,0,2,2,0,1,2,.282,.820
"Rojas, MSS",3,0,0,0,1,0,2,.220,.620
StallingsC,4,0,0,0,0,1,1,.197,.513
De La CruzLF,4,0,0,0,0,2,0,.233,.604
,32,7,10,7,3,7,13,,
