BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberLF,3,1,2,1,1,1,0,.130,.551
VierlingLF,0,0,0,0,0,0,0,.167,.334
Hoskins1B,4,0,0,0,0,1,2,.133,.428
RealmutoC,4,0,0,0,0,1,1,.214,.588
HarperDH,4,1,1,1,0,0,1,.407,1.411
"Castellanos, NRF",3,0,0,0,0,1,0,.192,.481
Bohm3B,3,0,0,0,0,2,0,.174,.520
StottSS,3,0,0,0,0,0,0,.111,.405
Segura2B,3,0,0,0,0,1,0,.333,.846
MarshCF,3,0,0,0,0,2,0,.250,.896
,30,2,3,2,1,9,4,,
